,symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
153,SHSE.688288,1d,11.66,12.12,11.35,11.65,963371,11166969.91,11.82,0,2024-09-18 00:00:00+08:00,2024-09-18 00:00:00+08:00
154,SHSE.688288,1d,11.62,12.22,11.62,12.1,1412696,16953928.61,11.65,0,2024-09-19 00:00:00+08:00,2024-09-19 00:00:00+08:00
155,SHSE.688288,1d,12.11,12.25,11.95,12.06,990093,11970771.79,12.1,0,2024-09-20 00:00:00+08:00,2024-09-20 00:00:00+08:00
156,SHSE.688288,1d,12.06,12.4,11.78,12.24,1266987,15445246.65,12.06,0,2024-09-23 00:00:00+08:00,2024-09-23 00:00:00+08:00
157,SHSE.688288,1d,12.31,12.54,11.93,12.48,1904269,23408200.02,12.24,0,2024-09-24 00:00:00+08:00,2024-09-24 00:00:00+08:00
158,SHSE.688288,1d,12.49,12.89,12.48,12.65,1824302,23183687.43,12.48,0,2024-09-25 00:00:00+08:00,2024-09-25 00:00:00+08:00
159,SHSE.688288,1d,12.55,13.02,12.5,13.0,1861851,23887697.53,12.65,0,2024-09-26 00:00:00+08:00,2024-09-26 00:00:00+08:00
160,SHSE.688288,1d,13.26,13.94,13.26,13.8,2013908,27427692.36,13.0,0,2024-09-27 00:00:00+08:00,2024-09-27 00:00:00+08:00
161,SHSE.688288,1d,14.47,15.88,14.19,15.75,5552481,83662276.88,13.8,0,2024-09-30 00:00:00+08:00,2024-09-30 00:00:00+08:00
162,SHSE.688288,1d,18.47,18.5,16.6,18.11,6453962,113560621.42,15.75,0,2024-10-08 00:00:00+08:00,2024-10-08 00:00:00+08:00
163,SHSE.688288,1d,17.11,17.39,15.79,15.8,5136688,85965720.95,18.11,0,2024-10-09 00:00:00+08:00,2024-10-09 00:00:00+08:00
164,SHSE.688288,1d,16.3,16.93,16.0,16.33,3759816,62052750.6,15.8,0,2024-10-10 00:00:00+08:00,2024-10-10 00:00:00+08:00
165,SHSE.688288,1d,16.17,16.39,14.96,15.1,3806759,58799945.36,16.33,0,2024-10-11 00:00:00+08:00,2024-10-11 00:00:00+08:00
166,SHSE.688288,1d,15.1,15.93,14.86,15.9,2758879,42431863.63,15.1,0,2024-10-14 00:00:00+08:00,2024-10-14 00:00:00+08:00
167,SHSE.688288,1d,16.11,16.6,15.6,15.97,2725240,44267406.19,15.9,0,2024-10-15 00:00:00+08:00,2024-10-15 00:00:00+08:00
168,SHSE.688288,1d,15.97,16.27,15.43,15.97,1839374,29496694.39,15.97,0,2024-10-16 00:00:00+08:00,2024-10-16 00:00:00+08:00
169,SHSE.688288,1d,16.23,16.82,15.75,15.8,2027010,32783485.78,15.97,0,2024-10-17 00:00:00+08:00,2024-10-17 00:00:00+08:00
170,SHSE.688288,1d,15.8,16.87,15.6,16.48,2727173,44381433.76,15.8,0,2024-10-18 00:00:00+08:00,2024-10-18 00:00:00+08:00
171,SHSE.688288,1d,16.7,17.32,16.46,17.05,2938183,49849027.35,16.48,0,2024-10-21 00:00:00+08:00,2024-10-21 00:00:00+08:00
172,SHSE.688288,1d,17.05,17.45,16.59,17.0,2330122,39353387.49,17.05,0,2024-10-22 00:00:00+08:00,2024-10-22 00:00:00+08:00
173,SHSE.688288,1d,16.8,17.68,16.68,17.17,3129738,53786690.89,17.0,0,2024-10-23 00:00:00+08:00,2024-10-23 00:00:00+08:00
174,SHSE.688288,1d,17.01,17.16,16.5,16.73,2437420,40795269.18,17.17,0,2024-10-24 00:00:00+08:00,2024-10-24 00:00:00+08:00
175,SHSE.688288,1d,16.72,17.16,16.72,16.92,1857812,31497793.47,16.73,0,2024-10-25 00:00:00+08:00,2024-10-25 00:00:00+08:00
176,SHSE.688288,1d,16.92,17.3,16.9,17.3,1753245,30090162.97,16.92,0,2024-10-28 00:00:00+08:00,2024-10-28 00:00:00+08:00
177,SHSE.688288,1d,17.5,18.7,17.34,17.7,5953136,108443778.09,17.3,0,2024-10-29 00:00:00+08:00,2024-10-29 00:00:00+08:00
178,SHSE.688288,1d,17.2,17.65,16.7,16.82,3538449,60585726.21,17.7,0,2024-10-30 00:00:00+08:00,2024-10-30 00:00:00+08:00
179,SHSE.688288,1d,16.98,17.5,16.75,17.32,2106899,36203834.39,16.82,0,2024-10-31 00:00:00+08:00,2024-10-31 00:00:00+08:00
180,SHSE.688288,1d,17.11,17.4,16.0,16.11,2721510,45029660.69,17.32,0,2024-11-01 00:00:00+08:00,2024-11-01 00:00:00+08:00
181,SHSE.688288,1d,16.17,16.64,16.01,16.5,1953923,32132302.61,16.11,0,2024-11-04 00:00:00+08:00,2024-11-04 00:00:00+08:00
182,SHSE.688288,1d,16.76,17.33,16.33,17.13,2113728,35882715.94,16.5,0,2024-11-05 00:00:00+08:00,2024-11-05 00:00:00+08:00
183,SHSE.688288,1d,17.16,18.09,17.16,17.53,3046606,53827429.17,17.13,0,2024-11-06 00:00:00+08:00,2024-11-06 00:00:00+08:00
184,SHSE.688288,1d,17.73,17.75,17.25,17.73,2325850,40838459.48,17.53,0,2024-11-07 00:00:00+08:00,2024-11-07 00:00:00+08:00
185,SHSE.688288,1d,17.91,18.48,17.66,17.93,2347750,42574728.69,17.73,0,2024-11-08 00:00:00+08:00,2024-11-08 00:00:00+08:00
186,SHSE.688288,1d,18.05,18.8,17.75,18.8,2335959,43337184.68,17.93,0,2024-11-11 00:00:00+08:00,2024-11-11 00:00:00+08:00
187,SHSE.688288,1d,19.01,19.18,17.9,18.17,2551673,47206088.61,18.8,0,2024-11-12 00:00:00+08:00,2024-11-12 00:00:00+08:00
188,SHSE.688288,1d,17.98,20.3,17.82,19.56,5305224,100331346.3,18.17,0,2024-11-13 00:00:00+08:00,2024-11-13 00:00:00+08:00
189,SHSE.688288,1d,19.94,19.94,17.91,18.05,4342318,80634701.35,19.56,0,2024-11-14 00:00:00+08:00,2024-11-14 00:00:00+08:00
190,SHSE.688288,1d,18.05,18.31,17.3,17.37,3230546,57758137.36,18.05,0,2024-11-15 00:00:00+08:00,2024-11-15 00:00:00+08:00
191,SHSE.688288,1d,17.59,17.67,16.23,16.53,3168914,52751292.34,17.37,0,2024-11-18 00:00:00+08:00,2024-11-18 00:00:00+08:00
192,SHSE.688288,1d,16.41,17.16,16.39,17.06,2052779,34286266.68,16.53,0,2024-11-19 00:00:00+08:00,2024-11-19 00:00:00+08:00
193,SHSE.688288,1d,17.18,17.8,16.88,17.65,2047326,35626980.84,17.06,0,2024-11-20 00:00:00+08:00,2024-11-20 00:00:00+08:00
194,SHSE.688288,1d,17.49,18.08,17.49,17.98,2261484,40269624.62,17.65,0,2024-11-21 00:00:00+08:00,2024-11-21 00:00:00+08:00
195,SHSE.688288,1d,17.43,18.09,16.7,16.7,2469611,43247382.57,17.98,0,2024-11-22 00:00:00+08:00,2024-11-22 00:00:00+08:00
196,SHSE.688288,1d,16.84,17.18,16.51,17.17,1741504,29326846.66,16.7,0,2024-11-25 00:00:00+08:00,2024-11-25 00:00:00+08:00
197,SHSE.688288,1d,17.24,17.56,16.84,16.93,1469018,25153105.71,17.17,0,2024-11-26 00:00:00+08:00,2024-11-26 00:00:00+08:00
198,SHSE.688288,1d,17.0,17.45,16.11,17.38,2052736,34317797.06,16.93,0,2024-11-27 00:00:00+08:00,2024-11-27 00:00:00+08:00
199,SHSE.688288,1d,17.47,17.55,17.02,17.12,1417997,24472209.62,17.38,0,2024-11-28 00:00:00+08:00,2024-11-28 00:00:00+08:00
200,SHSE.688288,1d,17.42,17.54,16.79,17.35,1605829,27672659.48,17.12,0,2024-11-29 00:00:00+08:00,2024-11-29 00:00:00+08:00
201,SHSE.688288,1d,17.39,17.88,17.02,17.82,1890009,33311017.99,17.35,0,2024-12-02 00:00:00+08:00,2024-12-02 00:00:00+08:00
202,SHSE.688288,1d,17.8,19.06,17.71,18.56,4447720,82369721.82,17.82,0,2024-12-03 00:00:00+08:00,2024-12-03 00:00:00+08:00
203,SHSE.688288,1d,18.54,18.54,17.69,18.28,3000779,54331558.98,18.56,0,2024-12-04 00:00:00+08:00,2024-12-04 00:00:00+08:00
204,SHSE.688288,1d,18.11,19.86,18.08,19.56,4130271,79057767.09,18.28,0,2024-12-05 00:00:00+08:00,2024-12-05 00:00:00+08:00
205,SHSE.688288,1d,19.81,20.13,19.02,19.45,3715226,72649023.54,19.56,0,2024-12-06 00:00:00+08:00,2024-12-06 00:00:00+08:00
206,SHSE.688288,1d,19.43,19.92,19.1,19.63,2500942,48621485.41,19.45,0,2024-12-09 00:00:00+08:00,2024-12-09 00:00:00+08:00
207,SHSE.688288,1d,20.0,20.62,19.42,19.43,3368405,67260884.19,19.63,0,2024-12-10 00:00:00+08:00,2024-12-10 00:00:00+08:00
208,SHSE.688288,1d,19.5,19.86,19.35,19.66,2092338,41014835.56,19.43,0,2024-12-11 00:00:00+08:00,2024-12-11 00:00:00+08:00
209,SHSE.688288,1d,20.16,20.9,19.91,20.38,3890891,79112290.19,19.66,0,2024-12-12 00:00:00+08:00,2024-12-12 00:00:00+08:00
210,SHSE.688288,1d,20.4,20.72,19.81,20.04,2475766,50033454.37,20.38,0,2024-12-13 00:00:00+08:00,2024-12-13 00:00:00+08:00
211,SHSE.688288,1d,20.28,20.29,18.91,19.12,2892296,56003908.14,20.04,0,2024-12-16 00:00:00+08:00,2024-12-16 00:00:00+08:00
212,SHSE.688288,1d,19.11,19.2,17.91,18.0,2786301,51206779.68,19.12,0,2024-12-17 00:00:00+08:00,2024-12-17 00:00:00+08:00
213,SHSE.688288,1d,18.29,18.38,17.37,18.14,1788796,32138317.8,18.0,0,2024-12-18 00:00:00+08:00,2024-12-18 00:00:00+08:00
